Step	Training Loss	Validation Loss	Accuracy	F1	Precision	Recall
500	    1.739000	1.124550	0.673176	0.241930	0.264042	0.248415
1000	1.016500	1.000496	0.702653	0.291057	0.314299	0.308651
1500	0.937800	0.960426	0.709285	0.308831	0.326994	0.320476
2000	0.917300	0.942488	0.710759	0.361923	0.411463	0.359991
2500	0.891000	0.912347	0.712601	0.380742	0.420681	0.376865
3000	0.859400	0.886885	0.727708	0.423561	0.479572	0.420548
3500	0.822900	0.906034	0.716654	0.437566	0.510590	0.441167
4000	0.812800	0.874505	0.721076	0.403673	0.464518	0.396272
4500	0.799900	0.882770	0.719234	0.414723	0.480256	0.407614
5000	0.801100	0.874491	0.722181	0.418790	0.507274	0.410737
5500	0.792900	0.858883	0.724761	0.418093	0.482089	0.415592
